"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"May, 1999"	"1999/05"	"Nebraska"	"31"	31	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Nevada"	"32"	33	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Hampshire"	"33"	18	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Jersey"	"34"	197	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Mexico"	"35"	46	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New York"	"36"	289	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Carolina"	"37"	141	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Dakota"	"38"	16	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Ohio"	"39"	286	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oklahoma"	"40"	78	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oregon"	"41"	76	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Pennsylvania"	"42"	315	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Rhode Island"	"44"	12	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Carolina"	"45"	95	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Dakota"	"46"	13	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Tennessee"	"47"	128	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Texas"	"48"	412	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Utah"	"49"	32	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Vermont"	"50"	15	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Virginia"	"51"	143	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Washington"	"53"	125	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"West Virginia"	"54"	59	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Wisconsin"	"55"	106	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Alabama"	"01"	98	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arizona"	"04"	80	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arkansas"	"05"	55	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"California"	"06"	479	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Colorado"	"08"	50	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Connecticut"	"09"	39	Not Applicable	Not Applicable
